,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,130.5204870277971,131.16296911492586,128.2231389904879,129.16738891601562,99116600,0.0,0.0
2021-01-04,129.97536966603926,130.0629768178639,123.39482930890424,125.97447967529297,143301900,0.0,0.0
2021-01-05,125.46826076163048,128.24260563447913,125.020466187956,127.53197479248047,97664900,0.0,0.0
2021-01-06,124.32935178639943,127.57095032339852,123.02492160278335,123.23908233642578,155088000,0.0,0.0
2021-01-07,124.95235351880193,128.1355470987152,124.46562730765885,127.44438934326172,109578200,0.0,0.0
2021-01-08,128.91428961570313,129.10899197173987,126.77269738263777,128.5443878173828,105158200,0.0,0.0
2021-01-11,125.76032449463308,126.71430373737336,125.08863992699253,125.55589294433594,100384500,0.0,0.0
2021-01-12,125.08861473418492,126.24702529391881,123.4921536305582,125.38065338134766,91951100,0.0,0.0
2021-01-13,125.34174066662901,127.9603303123861,125.07891918186495,127.41519927978516,88636800,0.0,0.0
2021-01-14,127.32755607466288,127.52224355209353,125.34170518524395,125.48773193359375,90221800,0.0,0.0
2021-01-15,125.36117045243897,126.76294396711677,123.62842676171266,123.76470947265625,111598500,0.0,0.0
2021-01-19,124.38771815813641,125.29303640790387,123.57002189323133,124.43639373779297,90757300,0.0,0.0
2021-01-20,125.24435806944973,128.9726816127556,125.13727773804456,128.52488708496094,104319500,0.0,0.0
2021-01-21,130.24789882523683,135.96205811290383,130.04346734095793,133.23638916015625,120150900,0.0,0.0
2021-01-22,132.66208095000118,136.13731286135894,131.43553637442392,135.37802124023438,114459400,0.0,0.0
2021-01-25,139.2718354812106,141.23819854253642,132.9151779412319,139.1258087158203,157611700,0.0,0.0
2021-01-26,139.78777273313094,140.46918645287846,137.6169631530498,139.3594512939453,98390600,0.0,0.0
2021-01-27,139.6222601892596,140.46917381461645,136.6824448551771,138.28863525390625,140843800,0.0,0.0
2021-01-28,135.81607367562873,138.22050212672593,133.07093096645877,133.45057678222656,142621100,0.0,0.0
2021-01-29,132.22399608017142,133.10984102627805,126.7532002152796,128.4567413330078,177523800,0.0,0.0
2021-02-01,130.19922693086417,131.78595871131816,127.45408469869479,130.57887268066406,106239800,0.0,0.0
2021-02-02,132.12667146199954,132.69127555683025,131.0364096809211,131.4063262939453,83305400,0.0,0.0
