,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,expirationDate,time_to_expiration
0,AAPL230526C00095000,2023-05-19 19:36:18+00:00,95.0,80.27,78.95,81.45,1.2699966,1.6075907,7.0,0,1.8125009374999999,True,REGULAR,USD,Call,2023-05-26,4
1,AAPL230526C00100000,2023-05-17 13:59:34+00:00,100.0,75.32,73.5,76.5,4.6399994,6.5647984,1.0,6,2.8710965722656248,True,REGULAR,USD,Call,2023-05-26,4
2,AAPL230526C00110000,2023-05-16 18:17:19+00:00,110.0,62.18,63.5,66.55,0.0,0.0,13.0,13,2.4785194287109373,True,REGULAR,USD,Call,2023-05-26,4
3,AAPL230526C00115000,2023-05-08 15:00:05+00:00,115.0,58.7,59.1,61.55,0.0,0.0,1.0,3,1.5390648046875,True,REGULAR,USD,Call,2023-05-26,4
4,AAPL230526C00120000,2023-05-17 19:25:47+00:00,120.0,52.52,53.6,56.95,0.0,0.0,6.0,5,1.3320345898437496,True,REGULAR,USD,Call,2023-05-26,4
5,AAPL230526C00125000,2023-05-18 19:29:07+00:00,125.0,49.6,48.9,51.7,0.0,0.0,5.0,60,1.236331943359375,True,REGULAR,USD,Call,2023-05-26,4
6,AAPL230526C00130000,2023-05-19 13:51:55+00:00,130.0,45.85,44.8,46.05,2.5099983,5.791413,55.0,10,1.2265663671875,True,REGULAR,USD,Call,2023-05-26,4
7,AAPL230526C00135000,2023-05-19 15:33:10+00:00,135.0,40.57,38.45,41.65,1.1199989,2.839034,11.0,36,1.589357521972656,True,REGULAR,USD,Call,2023-05-26,4
8,AAPL230526C00140000,2023-05-19 19:07:27+00:00,140.0,35.43,35.05,35.6,0.3600006,1.0265201,23.0,101,0.8886729882812499,True,REGULAR,USD,Call,2023-05-26,4
9,AAPL230526C00145000,2023-05-19 14:58:08+00:00,145.0,30.6,29.5,31.6,0.8500004,2.857144,1.0,45,0.8994150683593749,True,REGULAR,USD,Call,2023-05-26,4
10,AAPL230526C00147000,2023-05-17 17:10:06+00:00,147.0,25.1,27.1,29.65,0.0,0.0,4.0,8,0.7539087109375,True,REGULAR,USD,Call,2023-05-26,4
11,AAPL230526C00149000,2023-05-16 19:59:59+00:00,149.0,23.45,25.2,27.65,0.0,0.0,2.0,12,0.7334011035156249,True,REGULAR,USD,Call,2023-05-26,4
12,AAPL230526C00150000,2023-05-19 19:59:08+00:00,150.0,25.5,25.05,25.45,1.25,5.1546392,33.0,131,0.58789474609375,True,REGULAR,USD,Call,2023-05-26,4
13,AAPL230526C00152500,2023-05-19 19:25:52+00:00,152.5,23.11,22.75,22.95,0.460001,2.0309095,36.0,160,0.6064492480468751,True,REGULAR,USD,Call,2023-05-26,4
14,AAPL230526C00155000,2023-05-19 19:58:05+00:00,155.0,20.48,20.25,20.5,0.47999954,2.3999977,63.0,724,0.559574716796875,True,REGULAR,USD,Call,2023-05-26,4
15,AAPL230526C00157500,2023-05-19 18:18:51+00:00,157.5,18.05,17.35,18.0,0.5099983,2.90763,89.0,186,0.5507857421875001,True,REGULAR,USD,Call,2023-05-26,4
16,AAPL230526C00160000,2023-05-19 19:45:02+00:00,160.0,15.4,15.25,15.5,-0.07000065,-0.45249286,109.0,1457,0.4858449853515625,True,REGULAR,USD,Call,2023-05-26,4
17,AAPL230526C00162500,2023-05-19 19:49:29+00:00,162.5,12.84,12.5,13.05,0.13000011,1.0228176,137.0,219,0.43555251953125,True,REGULAR,USD,Call,2023-05-26,4
18,AAPL230526C00165000,2023-05-19 19:49:51+00:00,165.0,10.37,10.0,10.55,-0.05000019,-0.47984827,989.0,3957,0.367193828125,True,REGULAR,USD,Call,2023-05-26,4
19,AAPL230526C00167500,2023-05-19 19:59:22+00:00,167.5,8.05,7.4,8.1,0.10000038,1.2578664,1376.0,585,0.3090889404296875,True,REGULAR,USD,Call,2023-05-26,4
20,AAPL230526C00170000,2023-05-19 19:59:37+00:00,170.0,5.66,5.6,5.75,-0.14000034,-2.4137988,1400.0,5629,0.26148199462890626,True,REGULAR,USD,Call,2023-05-26,4
21,AAPL230526C00172500,2023-05-19 19:59:47+00:00,172.5,3.5,3.45,3.6,-0.17000008,-4.6321545,11437.0,7640,0.2243729907226562,True,REGULAR,USD,Call,2023-05-26,4
22,AAPL230526C00175000,2023-05-19 19:59:59+00:00,175.0,1.77,1.8,1.85,-0.19000006,-9.69388,27246.0,18115,0.19751779052734375,True,REGULAR,USD,Call,2023-05-26,4
23,AAPL230526C00177500,2023-05-19 19:59:55+00:00,177.5,0.75,0.73,0.76,-0.100000024,-11.7647085,49492.0,12005,0.18579915771484373,False,REGULAR,USD,Call,2023-05-26,4
24,AAPL230526C00180000,2023-05-19 19:59:47+00:00,180.0,0.25,0.25,0.27,-0.050000012,-16.66667,39200.0,23891,0.186531572265625,False,REGULAR,USD,Call,2023-05-26,4
25,AAPL230526C00182500,2023-05-19 19:59:57+00:00,182.5,0.1,0.09,0.1,-0.009999998,-9.090907,35893.0,7619,0.19727365234375,False,REGULAR,USD,Call,2023-05-26,4
26,AAPL230526C00185000,2023-05-19 19:59:43+00:00,185.0,0.05,0.04,0.05,-0.009999998,-16.666664,6472.0,14634,0.21875781249999998,False,REGULAR,USD,Call,2023-05-26,4
27,AAPL230526C00187500,2023-05-19 19:54:53+00:00,187.5,0.04,0.03,0.04,0.0,0.0,1371.0,941,0.25391371093750004,False,REGULAR,USD,Call,2023-05-26,4
28,AAPL230526C00190000,2023-05-19 19:46:13+00:00,190.0,0.03,0.02,0.03,0.0,0.0,2032.0,5689,0.28516339843749994,False,REGULAR,USD,Call,2023-05-26,4
29,AAPL230526C00192500,2023-05-19 19:48:00+00:00,192.5,0.02,0.01,0.03,0.0,0.0,1370.0,1327,0.3242255078124999,False,REGULAR,USD,Call,2023-05-26,4
30,AAPL230526C00195000,2023-05-19 19:32:35+00:00,195.0,0.02,0.01,0.03,0.0,0.0,1132.0,1978,0.36133451171875,False,REGULAR,USD,Call,2023-05-26,4
31,AAPL230526C00197500,2023-05-19 18:59:12+00:00,197.5,0.02,0.01,0.02,0.01,100.0,2.0,621,0.3789124609375,False,REGULAR,USD,Call,2023-05-26,4
32,AAPL230526C00200000,2023-05-19 17:02:50+00:00,200.0,0.01,0.01,0.02,0.0,0.0,125.0,846,0.414068359375,False,REGULAR,USD,Call,2023-05-26,4
33,AAPL230526C00202500,2023-05-19 13:30:04+00:00,202.5,0.01,0.0,0.02,0.0,0.0,3.0,32,0.44922425781249997,False,REGULAR,USD,Call,2023-05-26,4
34,AAPL230526C00205000,2023-05-19 16:19:23+00:00,205.0,0.02,0.0,0.03,0.01,100.0,1656.0,103,0.5039112109375,False,REGULAR,USD,Call,2023-05-26,4
35,AAPL230526C00210000,2023-05-19 19:42:34+00:00,210.0,0.01,0.0,0.02,0.0,0.0,7698.0,154,0.507817421875,False,REGULAR,USD,Call,2023-05-26,4
36,AAPL230526C00215000,2023-05-19 19:21:11+00:00,215.0,0.01,0.0,0.01,0.0,0.0,535.0,38,0.5312546875,False,REGULAR,USD,Call,2023-05-26,4
37,AAPL230526C00220000,2023-05-19 16:38:39+00:00,220.0,0.01,0.0,0.02,0.0,0.0,18.0,20,0.6250037500000001,False,REGULAR,USD,Call,2023-05-26,4
38,AAPL230526C00225000,2023-04-27 19:21:59+00:00,225.0,0.01,0.0,0.01,0.0,0.0,,2,0.64062859375,False,REGULAR,USD,Call,2023-05-26,4
39,AAPL230526C00230000,2023-05-05 14:55:54+00:00,230.0,0.01,0.0,0.01,0.0,0.0,20.0,25,0.6875031250000001,False,REGULAR,USD,Call,2023-05-26,4
40,AAPL230526C00240000,2023-05-03 18:18:11+00:00,240.0,0.03,0.0,0.01,0.0,0.0,4.0,4,0.7812521875,False,REGULAR,USD,Call,2023-05-26,4
41,AAPL230526C00250000,2023-05-19 13:39:08+00:00,250.0,0.01,0.0,0.01,0.0,0.0,61.0,12,0.87500125,False,REGULAR,USD,Call,2023-05-26,4
42,AAPL230526P00050000,2023-05-01 13:48:17+00:00,50.0,0.01,0.0,0.01,0.0,0.0,,1,3.0000025,False,REGULAR,USD,Put,2023-05-26,4
43,AAPL230526P00070000,2023-04-24 15:06:41+00:00,70.0,0.01,0.0,0.01,0.0,0.0,1.0,1,2.1875045312499997,False,REGULAR,USD,Put,2023-05-26,4
