,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,expirationDate,time_to_expiration
0,AAPL260102C00120000,2025-12-29 14:52:51+00:00,120.0,153.88,151.6,154.95,0.0,0.0,1.0,1,3.3359391601562494,True,REGULAR,USD,Call,2026-01-02,3
1,AAPL260102C00135000,2025-12-08 14:31:30+00:00,135.0,144.95,136.55,139.95,0.0,0.0,,2,2.843752890625,True,REGULAR,USD,Call,2026-01-02,3
2,AAPL260102C00145000,2025-11-19 16:06:45+00:00,145.0,126.05,126.55,130.0,0.0,0.0,,6,2.621097197265625,True,REGULAR,USD,Call,2026-01-02,3
3,AAPL260102C00150000,2025-12-29 20:59:30+00:00,150.0,123.83,121.6,124.95,0.0,0.0,2.0,12,2.49219126953125,True,REGULAR,USD,Call,2026-01-02,3
4,AAPL260102C00155000,2025-12-29 20:59:30+00:00,155.0,118.9,116.55,120.0,0.0,0.0,4.0,3,2.3691447021484366,True,REGULAR,USD,Call,2026-01-02,3
5,AAPL260102C00160000,2025-12-22 15:26:27+00:00,160.0,112.38,111.6,114.95,0.0,0.0,,10,2.248051254882812,True,REGULAR,USD,Call,2026-01-02,3
6,AAPL260102C00165000,2025-12-17 16:38:52+00:00,165.0,108.47,106.55,110.0,0.0,0.0,,2,2.1308640478515626,True,REGULAR,USD,Call,2026-01-02,3
7,AAPL260102C00170000,2025-12-30 20:18:40+00:00,170.0,103.34,102.15,104.2,0.0,0.0,2.0,13,1.8437507812499998,True,REGULAR,USD,Call,2026-01-02,3
8,AAPL260102C00175000,2025-12-30 14:58:24+00:00,175.0,99.05,96.55,100.05,-11.699997,-10.564332,1.0,1,1.9375003125,True,REGULAR,USD,Call,2026-01-02,3
9,AAPL260102C00180000,2025-12-30 15:05:10+00:00,180.0,93.81,92.15,94.5,0.08999634,0.09602682,1.0,3,1.85546947265625,True,REGULAR,USD,Call,2026-01-02,3
10,AAPL260102C00185000,2025-12-30 18:31:31+00:00,185.0,88.24,86.55,90.05,-0.20999908,-0.23742124,1.0,4,1.720704521484375,True,REGULAR,USD,Call,2026-01-02,3
11,AAPL260102C00190000,2025-12-30 16:59:16+00:00,190.0,82.6,81.65,84.95,-0.73999786,-0.88792646,1.0,6,1.615236298828125,True,REGULAR,USD,Call,2026-01-02,3
12,AAPL260102C00195000,2025-12-26 16:11:37+00:00,195.0,80.07,76.55,80.05,0.0,0.0,1.0,6,1.5136743066406249,True,REGULAR,USD,Call,2026-01-02,3
13,AAPL260102C00200000,2025-12-30 15:46:05+00:00,200.0,72.67,71.65,75.0,-1.340004,-1.8105714,1.0,77,1.435549697265625,True,REGULAR,USD,Call,2026-01-02,3
14,AAPL260102C00205000,2025-12-30 17:11:23+00:00,205.0,67.6,66.55,70.05,-2.3499985,-3.3595405,1.0,21,1.3144565527343748,True,REGULAR,USD,Call,2026-01-02,3
15,AAPL260102C00210000,2025-12-29 19:57:04+00:00,210.0,64.1,61.65,65.0,0.0,0.0,3.0,49,1.2382850585937497,True,REGULAR,USD,Call,2026-01-02,3
16,AAPL260102C00215000,2025-12-29 18:37:46+00:00,215.0,59.2,56.6,60.05,0.0,0.0,5.0,23,1.1416058544921874,True,REGULAR,USD,Call,2026-01-02,3
17,AAPL260102C00220000,2025-12-30 14:49:40+00:00,220.0,53.35,52.9,53.35,-1.5300026,-2.7879055,149.0,385,0.8320329296874999,True,REGULAR,USD,Call,2026-01-02,3
18,AAPL260102C00225000,2025-12-30 20:34:53+00:00,225.0,48.41,47.7,48.8,-0.49000168,-1.0020484,33.0,233,0.8994150683593749,True,REGULAR,USD,Call,2026-01-02,3
19,AAPL260102C00230000,2025-12-30 19:31:10+00:00,230.0,43.12,42.3,43.7,-0.79999924,-1.821492,6.0,444,1.0234423828125,True,REGULAR,USD,Call,2026-01-02,3
20,AAPL260102C00232500,2025-12-30 19:31:10+00:00,232.5,40.79,39.1,42.5,0.010002136,0.024527064,1.0,813,0.79883013671875,True,REGULAR,USD,Call,2026-01-02,3
21,AAPL260102C00235000,2025-12-30 19:44:26+00:00,235.0,38.48,37.4,39.0,-0.8100014,-2.0615966,17.0,95,0.68555001953125,True,REGULAR,USD,Call,2026-01-02,3
22,AAPL260102C00237500,2025-12-30 19:32:10+00:00,237.5,36.25,34.95,37.5,-0.54999924,-1.4945632,1.0,212,0.8745129736328124,True,REGULAR,USD,Call,2026-01-02,3
23,AAPL260102C00240000,2025-12-30 18:43:58+00:00,240.0,33.33,32.6,33.9,-0.3899994,-1.1565818,22.0,142,0.6357458300781251,True,REGULAR,USD,Call,2026-01-02,3
24,AAPL260102C00245000,2025-12-30 18:58:06+00:00,245.0,28.3,27.6,29.35,0.22999954,0.8193785,12.0,197,0.6435582519531251,True,REGULAR,USD,Call,2026-01-02,3
25,AAPL260102C00247500,2025-12-30 17:22:37+00:00,247.5,25.0,24.1,27.05,-0.59000015,-2.3055887,1.0,4,0.8327653442382811,True,REGULAR,USD,Call,2026-01-02,3
26,AAPL260102C00250000,2025-12-30 19:36:04+00:00,250.0,23.3,22.6,23.65,-0.5799999,-2.4288106,30.0,2267,0.5942423388671876,True,REGULAR,USD,Call,2026-01-02,3
27,AAPL260102C00252500,2025-12-29 14:53:50+00:00,252.5,21.5,19.5,22.5,0.0,0.0,2.0,92,0.5039112109375,True,REGULAR,USD,Call,2026-01-02,3
28,AAPL260102C00255000,2025-12-30 19:33:26+00:00,255.0,18.57,18.0,18.95,-0.35000038,-1.8498963,24.0,236,0.5498091894531252,True,REGULAR,USD,Call,2026-01-02,3
29,AAPL260102C00257500,2025-12-30 19:39:24+00:00,257.5,15.92,15.5,16.9,-0.59000015,-3.5735927,4.0,78,0.5644574804687501,True,REGULAR,USD,Call,2026-01-02,3
