US_Treasury_Rates,Yield
1m,5.62
2m,5.27
3m,5.29
4m,5.46
6m,5.36
1y,5.02
2y,4.28
3y,3.98
5y,3.76
7y,3.74
10y,3.70
20y,4.07
30y,3.95
