US_Treasury_Rates,Yield
1m,5.48
2m,5.5
3m,5.45
4m,5.42
6m,5.36
1y,5.13
2y,4.88
3y,4.7
5y,4.54
7y,4.53
10y,4.5
20y,4.73
30y,4.61
