,US_Treasury_Rates,Yield
0,1m,5.62
1,2m,5.27
2,3m,5.29
3,4m,5.46
4,6m,5.36
5,1y,5.02
6,2y,4.28
7,3y,3.98
8,5y,3.76
9,7y,3.74
10,10y,3.7
11,20y,4.07
12,30y,3.95
