,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,expirationDate,time_to_expiration
0,AAPL240419C00005000,2024-04-12 13:51:51+00:00,5.0,173.0,0.0,0.0,0.0,0.0,1.0,655,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
1,AAPL240419C00010000,2024-03-27 19:35:59+00:00,10.0,163.0,0.0,0.0,0.0,0.0,20.0,11,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
2,AAPL240419C00015000,2024-04-04 14:55:59+00:00,15.0,155.95,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
3,AAPL240419C00030000,2024-03-27 15:14:12+00:00,30.0,142.65,0.0,0.0,0.0,0.0,30.0,45,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
4,AAPL240419C00035000,2024-04-12 14:02:42+00:00,35.0,142.43,0.0,0.0,0.0,0.0,12.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
5,AAPL240419C00040000,2024-02-02 16:11:14+00:00,40.0,146.28,139.6,140.2,0.0,0.0,1.0,1,10.823245422973635,True,REGULAR,USD,Call,2024-04-19,3
6,AAPL240419C00045000,2024-04-08 17:09:28+00:00,45.0,123.82,0.0,0.0,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
7,AAPL240419C00050000,2024-03-05 14:50:15+00:00,50.0,120.68,120.7,121.2,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
8,AAPL240419C00055000,2024-03-14 17:45:07+00:00,55.0,118.8,120.7,122.25,0.0,0.0,5.0,5,6.6406266992187515,True,REGULAR,USD,Call,2024-04-19,3
9,AAPL240419C00060000,2024-03-27 18:13:50+00:00,60.0,112.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
10,AAPL240419C00065000,2024-04-12 19:14:52+00:00,65.0,110.76,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
11,AAPL240419C00070000,2024-03-13 15:24:36+00:00,70.0,101.6,105.85,106.45,0.0,0.0,,1,5.1718785351562495,True,REGULAR,USD,Call,2024-04-19,3
12,AAPL240419C00080000,2024-04-04 16:17:17+00:00,80.0,92.04,0.0,0.0,0.0,0.0,2.0,37,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
13,AAPL240419C00085000,2024-04-12 13:59:21+00:00,85.0,93.2,0.0,0.0,0.0,0.0,2.0,423,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
14,AAPL240419C00090000,2024-02-14 15:39:39+00:00,90.0,94.81,81.0,84.55,0.0,0.0,1.0,204,2.707034482421875,True,REGULAR,USD,Call,2024-04-19,3
15,AAPL240419C00095000,2024-04-11 18:21:13+00:00,95.0,78.9,0.0,0.0,0.0,0.0,1.0,190,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
16,AAPL240419C00100000,2024-04-08 17:28:33+00:00,100.0,68.7,0.0,0.0,0.0,0.0,10.0,58,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
17,AAPL240419C00105000,2024-04-12 13:52:20+00:00,105.0,72.2,0.0,0.0,0.0,0.0,2.0,44,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
18,AAPL240419C00110000,2024-04-12 16:18:49+00:00,110.0,66.07,0.0,0.0,0.0,0.0,50.0,507,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
19,AAPL240419C00115000,2024-04-03 18:02:03+00:00,115.0,55.45,0.0,0.0,0.0,0.0,5.0,372,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
20,AAPL240419C00120000,2024-04-12 17:06:38+00:00,120.0,55.3,0.0,0.0,0.0,0.0,1.0,217,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
21,AAPL240419C00125000,2024-04-12 19:10:14+00:00,125.0,51.04,0.0,0.0,0.0,0.0,4.0,122,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
22,AAPL240419C00130000,2024-04-12 17:39:19+00:00,130.0,45.66,0.0,0.0,0.0,0.0,3.0,263,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
23,AAPL240419C00135000,2024-04-12 15:42:42+00:00,135.0,41.92,0.0,0.0,0.0,0.0,15.0,71,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
24,AAPL240419C00140000,2024-04-12 19:08:42+00:00,140.0,36.08,0.0,0.0,0.0,0.0,28.0,226,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
