,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,expirationDate,time_to_expiration
25,AAPL240419C00144000,2024-04-10 13:54:11+00:00,144.0,24.05,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
26,AAPL240419C00145000,2024-04-12 19:53:09+00:00,145.0,31.66,0.0,0.0,0.0,0.0,12.0,588,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
27,AAPL240419C00146000,2024-04-12 14:03:12+00:00,146.0,31.5,0.0,0.0,0.0,0.0,6.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
28,AAPL240419C00147000,2024-04-11 19:22:16+00:00,147.0,27.83,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
29,AAPL240419C00148000,2024-04-11 19:22:16+00:00,148.0,26.85,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
30,AAPL240419C00149000,2024-04-12 15:25:59+00:00,149.0,27.45,0.0,0.0,0.0,0.0,10.0,6,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
31,AAPL240419C00150000,2024-04-12 19:57:21+00:00,150.0,26.8,0.0,0.0,0.0,0.0,200.0,1348,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
32,AAPL240419C00152500,2024-04-12 19:13:33+00:00,152.5,23.15,0.0,0.0,0.0,0.0,6.0,49,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
33,AAPL240419C00155000,2024-04-12 19:58:48+00:00,155.0,21.78,0.0,0.0,0.0,0.0,171.0,14082,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
34,AAPL240419C00157500,2024-04-12 19:46:25+00:00,157.5,19.25,0.0,0.0,0.0,0.0,64.0,185,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
35,AAPL240419C00160000,2024-04-12 19:56:01+00:00,160.0,16.7,0.0,0.0,0.0,0.0,778.0,36382,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
36,AAPL240419C00162500,2024-04-12 19:44:59+00:00,162.5,14.1,0.0,0.0,0.0,0.0,72.0,1551,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
37,AAPL240419C00165000,2024-04-12 19:59:27+00:00,165.0,11.85,0.0,0.0,0.0,0.0,705.0,3565,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
38,AAPL240419C00167500,2024-04-12 19:57:42+00:00,167.5,9.54,0.0,0.0,0.0,0.0,1006.0,11051,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
39,AAPL240419C00170000,2024-04-12 19:59:48+00:00,170.0,7.2,0.0,0.0,0.0,0.0,8160.0,28260,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
40,AAPL240419C00172500,2024-04-12 19:59:57+00:00,172.5,5.15,0.0,0.0,0.0,0.0,10923.0,16257,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-19,3
41,AAPL240419C00175000,2024-04-12 19:59:57+00:00,175.0,3.25,0.0,0.0,0.0,0.0,63472.0,40231,0.007822421875,False,REGULAR,USD,Call,2024-04-19,3
42,AAPL240419C00177500,2024-04-12 19:59:58+00:00,177.5,1.93,0.0,0.0,0.0,0.0,101476.0,33817,0.0312596875,False,REGULAR,USD,Call,2024-04-19,3
43,AAPL240419C00180000,2024-04-12 19:59:59+00:00,180.0,1.04,0.0,0.0,0.0,0.0,150833.0,82242,0.062509375,False,REGULAR,USD,Call,2024-04-19,3
44,AAPL240419C00182500,2024-04-12 19:59:59+00:00,182.5,0.54,0.0,0.0,0.0,0.0,55674.0,21302,0.12500875,False,REGULAR,USD,Call,2024-04-19,3
45,AAPL240419C00185000,2024-04-12 19:59:59+00:00,185.0,0.26,0.0,0.0,0.0,0.0,79905.0,61555,0.12500875,False,REGULAR,USD,Call,2024-04-19,3
46,AAPL240419C00187500,2024-04-12 19:59:57+00:00,187.5,0.14,0.0,0.0,0.0,0.0,34861.0,17810,0.12500875,False,REGULAR,USD,Call,2024-04-19,3
47,AAPL240419C00190000,2024-04-12 19:59:59+00:00,190.0,0.07,0.0,0.0,0.0,0.0,18594.0,61543,0.12500875,False,REGULAR,USD,Call,2024-04-19,3
48,AAPL240419C00192500,2024-04-12 19:57:41+00:00,192.5,0.05,0.0,0.0,0.0,0.0,5399.0,7435,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
49,AAPL240419C00195000,2024-04-12 19:56:26+00:00,195.0,0.03,0.0,0.0,0.0,0.0,6111.0,33331,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
50,AAPL240419C00197500,2024-04-12 19:49:31+00:00,197.5,0.03,0.0,0.0,0.0,0.0,1800.0,1530,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
51,AAPL240419C00200000,2024-04-12 19:59:07+00:00,200.0,0.03,0.0,0.0,0.0,0.0,4007.0,35816,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
52,AAPL240419C00202500,2024-04-12 19:15:17+00:00,202.5,0.01,0.0,0.0,0.0,0.0,1185.0,824,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
53,AAPL240419C00205000,2024-04-12 19:49:23+00:00,205.0,0.02,0.0,0.0,0.0,0.0,804.0,21381,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
54,AAPL240419C00207500,2024-04-12 19:50:24+00:00,207.5,0.01,0.0,0.0,0.0,0.0,53.0,320,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
55,AAPL240419C00210000,2024-04-12 19:55:26+00:00,210.0,0.01,0.0,0.0,0.0,0.0,275.0,16911,0.2500075,False,REGULAR,USD,Call,2024-04-19,3
56,AAPL240419C00215000,2024-04-12 19:49:23+00:00,215.0,0.01,0.0,0.0,0.0,0.0,85.0,11302,0.500005,False,REGULAR,USD,Call,2024-04-19,3
57,AAPL240419C00220000,2024-04-12 13:56:52+00:00,220.0,0.01,0.0,0.0,0.0,0.0,4.0,4904,0.500005,False,REGULAR,USD,Call,2024-04-19,3
58,AAPL240419C00225000,2024-04-12 19:42:38+00:00,225.0,0.01,0.0,0.0,0.0,0.0,157.0,2692,0.500005,False,REGULAR,USD,Call,2024-04-19,3
59,AAPL240419C00230000,2024-04-12 19:56:26+00:00,230.0,0.01,0.0,0.0,0.0,0.0,150.0,38057,0.500005,False,REGULAR,USD,Call,2024-04-19,3
60,AAPL240419C00235000,2024-04-12 15:39:09+00:00,235.0,0.01,0.0,0.0,0.0,0.0,1.0,3916,0.500005,False,REGULAR,USD,Call,2024-04-19,3
61,AAPL240419C00240000,2024-04-04 19:19:57+00:00,240.0,0.01,0.0,0.0,0.0,0.0,3.0,3577,0.500005,False,REGULAR,USD,Call,2024-04-19,3
62,AAPL240419C00245000,2024-03-28 18:50:51+00:00,245.0,0.01,0.0,0.0,0.0,0.0,20.0,1724,0.500005,False,REGULAR,USD,Call,2024-04-19,3
63,AAPL240419C00250000,2024-04-03 17:09:55+00:00,250.0,0.01,0.0,0.0,0.0,0.0,2.0,3745,0.500005,False,REGULAR,USD,Call,2024-04-19,3
64,AAPL240419C00255000,2024-03-14 15:53:20+00:00,255.0,0.02,0.0,0.01,0.0,0.0,1.0,1553,1.0312548437500002,False,REGULAR,USD,Call,2024-04-19,3
65,AAPL240419C00260000,2024-04-09 13:52:10+00:00,260.0,0.01,0.0,0.0,0.0,0.0,5.0,1396,0.500005,False,REGULAR,USD,Call,2024-04-19,3
66,AAPL240419C00265000,2024-03-18 13:30:00+00:00,265.0,0.01,0.0,0.0,0.0,0.0,10.0,2023,0.500005,False,REGULAR,USD,Call,2024-04-19,3
67,AAPL240419C00270000,2024-03-28 14:26:29+00:00,270.0,0.01,0.0,0.0,0.0,0.0,1.0,2605,0.500005,False,REGULAR,USD,Call,2024-04-19,3
68,AAPL240419C00275000,2024-03-21 19:50:23+00:00,275.0,0.01,0.0,0.0,0.0,0.0,1293.0,2674,0.500005,False,REGULAR,USD,Call,2024-04-19,3
69,AAPL240419C00280000,2024-03-21 19:58:28+00:00,280.0,0.01,0.0,0.0,0.0,0.0,1197.0,1645,0.500005,False,REGULAR,USD,Call,2024-04-19,3
70,AAPL240419C00285000,2024-03-13 13:38:31+00:00,285.0,0.01,0.0,0.0,0.0,0.0,2.0,421,0.500005,False,REGULAR,USD,Call,2024-04-19,3
71,AAPL240419C00290000,2024-02-22 19:04:11+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1.0,224,1.3125034374999998,False,REGULAR,USD,Call,2024-04-19,3
72,AAPL240419C00295000,2024-04-11 18:10:46+00:00,295.0,0.01,0.0,0.0,0.0,0.0,40.0,848,0.500005,False,REGULAR,USD,Call,2024-04-19,3
73,AAPL240419C00300000,2024-04-12 13:42:01+00:00,300.0,0.01,0.0,0.0,0.0,0.0,1.0,1439,0.500005,False,REGULAR,USD,Call,2024-04-19,3
74,AAPL240419P00005000,2024-03-15 15:59:06+00:00,5.0,0.01,0.0,0.01,0.0,0.0,1.0,5,9.5000040625,False,REGULAR,USD,Put,2024-04-19,3
75,AAPL240419P00010000,2024-04-10 13:41:59+00:00,10.0,0.01,0.0,0.0,0.0,0.0,1.0,2,0.500005,False,REGULAR,USD,Put,2024-04-19,3
76,AAPL240419P00020000,2024-02-20 14:30:01+00:00,20.0,0.01,0.0,0.0,0.0,0.0,,50,0.500005,False,REGULAR,USD,Put,2024-04-19,3
77,AAPL240419P00060000,2024-03-19 19:06:31+00:00,60.0,0.01,0.0,0.0,0.0,0.0,4.0,10,0.500005,False,REGULAR,USD,Put,2024-04-19,3
78,AAPL240419P00065000,2024-02-20 14:43:29+00:00,65.0,0.01,0.0,0.02,0.0,0.0,,35,2.750003125,False,REGULAR,USD,Put,2024-04-19,3
79,AAPL240419P00070000,2024-03-22 15:52:50+00:00,70.0,0.01,0.0,0.0,0.0,0.0,4.0,34,0.500005,False,REGULAR,USD,Put,2024-04-19,3
80,AAPL240419P00075000,2024-03-15 19:41:22+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,303,2.2500043749999996,False,REGULAR,USD,Put,2024-04-19,3
81,AAPL240419P00080000,2024-04-08 15:08:09+00:00,80.0,0.01,0.0,0.0,0.0,0.0,1.0,1862,0.500005,False,REGULAR,USD,Put,2024-04-19,3
82,AAPL240419P00085000,2024-03-05 19:31:38+00:00,85.0,0.02,0.0,0.02,0.0,0.0,5.0,1054,2.031254921875,False,REGULAR,USD,Put,2024-04-19,3
83,AAPL240419P00090000,2024-04-10 13:55:05+00:00,90.0,0.01,0.0,0.0,0.0,0.0,1.0,1259,0.500005,False,REGULAR,USD,Put,2024-04-19,3
84,AAPL240419P00095000,2024-04-03 16:16:59+00:00,95.0,0.01,0.0,0.0,0.0,0.0,90.0,6201,0.500005,False,REGULAR,USD,Put,2024-04-19,3
85,AAPL240419P00100000,2024-04-10 13:47:07+00:00,100.0,0.01,0.0,0.0,0.0,0.0,20.0,1461,0.500005,False,REGULAR,USD,Put,2024-04-19,3
86,AAPL240419P00105000,2024-04-05 19:19:15+00:00,105.0,0.01,0.0,0.0,0.0,0.0,5.0,1661,0.500005,False,REGULAR,USD,Put,2024-04-19,3
87,AAPL240419P00110000,2024-04-12 14:54:21+00:00,110.0,0.01,0.0,0.0,0.0,0.0,291.0,2391,0.500005,False,REGULAR,USD,Put,2024-04-19,3
88,AAPL240419P00115000,2024-04-12 19:45:29+00:00,115.0,0.01,0.0,0.0,0.0,0.0,10.0,1010,0.500005,False,REGULAR,USD,Put,2024-04-19,3
89,AAPL240419P00120000,2024-04-11 17:27:16+00:00,120.0,0.01,0.0,0.0,0.0,0.0,1.0,3970,0.500005,False,REGULAR,USD,Put,2024-04-19,3
90,AAPL240419P00125000,2024-04-12 14:58:32+00:00,125.0,0.01,0.0,0.0,0.0,0.0,352.0,4364,0.500005,False,REGULAR,USD,Put,2024-04-19,3
91,AAPL240419P00130000,2024-04-12 19:46:24+00:00,130.0,0.02,0.0,0.0,0.0,0.0,148.0,11867,0.500005,False,REGULAR,USD,Put,2024-04-19,3
92,AAPL240419P00135000,2024-04-12 19:42:19+00:00,135.0,0.02,0.0,0.0,0.0,0.0,142.0,3858,0.500005,False,REGULAR,USD,Put,2024-04-19,3
93,AAPL240419P00140000,2024-04-12 19:42:40+00:00,140.0,0.02,0.0,0.0,0.0,0.0,859.0,7551,0.500005,False,REGULAR,USD,Put,2024-04-19,3
94,AAPL240419P00144000,2024-04-12 14:35:56+00:00,144.0,0.02,0.0,0.0,0.0,0.0,381.0,388,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
95,AAPL240419P00145000,2024-04-12 19:36:50+00:00,145.0,0.02,0.0,0.0,0.0,0.0,173.0,15751,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
96,AAPL240419P00146000,2024-04-12 19:55:21+00:00,146.0,0.03,0.0,0.0,0.0,0.0,49.0,45,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
97,AAPL240419P00147000,2024-04-12 18:36:35+00:00,147.0,0.03,0.0,0.0,0.0,0.0,132.0,282,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
98,AAPL240419P00148000,2024-04-12 19:56:22+00:00,148.0,0.03,0.0,0.0,0.0,0.0,26.0,30,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
99,AAPL240419P00149000,2024-04-12 14:23:00+00:00,149.0,0.03,0.0,0.0,0.0,0.0,3.0,471,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
100,AAPL240419P00150000,2024-04-12 19:57:50+00:00,150.0,0.03,0.0,0.0,0.0,0.0,532.0,12479,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
101,AAPL240419P00152500,2024-04-12 19:58:32+00:00,152.5,0.04,0.0,0.0,0.0,0.0,345.0,2364,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
102,AAPL240419P00155000,2024-04-12 19:59:56+00:00,155.0,0.05,0.0,0.0,0.0,0.0,6419.0,41072,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
103,AAPL240419P00157500,2024-04-12 19:57:45+00:00,157.5,0.06,0.0,0.0,0.0,0.0,638.0,7288,0.2500075,False,REGULAR,USD,Put,2024-04-19,3
104,AAPL240419P00160000,2024-04-12 19:59:59+00:00,160.0,0.07,0.0,0.0,0.0,0.0,12674.0,58816,0.12500875,False,REGULAR,USD,Put,2024-04-19,3
105,AAPL240419P00162500,2024-04-12 19:59:51+00:00,162.5,0.09,0.0,0.0,0.0,0.0,6790.0,16559,0.12500875,False,REGULAR,USD,Put,2024-04-19,3
106,AAPL240419P00165000,2024-04-12 19:59:54+00:00,165.0,0.15,0.0,0.0,0.0,0.0,14580.0,32259,0.12500875,False,REGULAR,USD,Put,2024-04-19,3
107,AAPL240419P00167500,2024-04-12 19:59:59+00:00,167.5,0.23,0.0,0.0,0.0,0.0,17113.0,18449,0.062509375,False,REGULAR,USD,Put,2024-04-19,3
108,AAPL240419P00170000,2024-04-12 19:59:59+00:00,170.0,0.43,0.0,0.0,0.0,0.0,35725.0,52801,0.062509375,False,REGULAR,USD,Put,2024-04-19,3
109,AAPL240419P00172500,2024-04-12 19:59:59+00:00,172.5,0.83,0.0,0.0,0.0,0.0,43500.0,14414,0.0312596875,False,REGULAR,USD,Put,2024-04-19,3
110,AAPL240419P00175000,2024-04-12 19:59:59+00:00,175.0,1.54,0.0,0.0,0.0,0.0,62779.0,31405,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
111,AAPL240419P00177500,2024-04-12 19:59:56+00:00,177.5,2.68,0.0,0.0,0.0,0.0,24415.0,5460,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
112,AAPL240419P00180000,2024-04-12 19:59:44+00:00,180.0,4.3,0.0,0.0,0.0,0.0,7299.0,15631,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
113,AAPL240419P00182500,2024-04-12 19:58:52+00:00,182.5,6.3,0.0,0.0,0.0,0.0,1814.0,1291,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
114,AAPL240419P00185000,2024-04-12 19:54:47+00:00,185.0,8.66,0.0,0.0,0.0,0.0,1236.0,5244,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
115,AAPL240419P00187500,2024-04-12 19:56:12+00:00,187.5,11.0,0.0,0.0,0.0,0.0,109.0,59,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
116,AAPL240419P00190000,2024-04-12 19:49:04+00:00,190.0,13.2,0.0,0.0,0.0,0.0,778.0,1119,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
117,AAPL240419P00192500,2024-04-12 19:15:56+00:00,192.5,16.8,0.0,0.0,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
118,AAPL240419P00195000,2024-04-12 19:49:04+00:00,195.0,18.85,0.0,0.0,0.0,0.0,1210.0,415,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
119,AAPL240419P00197500,2024-04-12 17:01:19+00:00,197.5,22.45,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
120,AAPL240419P00200000,2024-04-12 19:49:43+00:00,200.0,23.38,0.0,0.0,0.0,0.0,1220.0,120,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
121,AAPL240419P00205000,2024-04-12 19:28:27+00:00,205.0,29.0,0.0,0.0,0.0,0.0,1429.0,32,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
122,AAPL240419P00207500,2024-04-03 19:49:25+00:00,207.5,37.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
123,AAPL240419P00210000,2024-04-12 18:45:11+00:00,210.0,34.02,0.0,0.0,0.0,0.0,6.0,6,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
124,AAPL240419P00215000,2024-04-11 18:52:08+00:00,215.0,40.86,0.0,0.0,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
125,AAPL240419P00220000,2024-04-11 18:52:30+00:00,220.0,45.93,0.0,0.0,0.0,0.0,3.0,6,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
126,AAPL240419P00225000,2024-04-03 19:49:26+00:00,225.0,54.89,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
127,AAPL240419P00230000,2024-02-14 20:48:30+00:00,230.0,46.04,57.0,58.25,0.0,0.0,1.0,0,1.81640716796875,True,REGULAR,USD,Put,2024-04-19,3
128,AAPL240419P00235000,2024-04-10 17:01:43+00:00,235.0,66.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
129,AAPL240419P00240000,2023-11-29 17:03:08+00:00,240.0,50.27,47.35,47.9,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
130,AAPL240419P00245000,2024-01-22 16:45:52+00:00,245.0,51.6,63.2,63.65,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
131,AAPL240419P00250000,2023-11-21 20:34:45+00:00,250.0,59.6,54.4,56.05,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
132,AAPL240419P00255000,2024-02-29 18:05:50+00:00,255.0,74.35,82.0,85.25,0.0,0.0,,0,2.529788831787109,True,REGULAR,USD,Put,2024-04-19,3
133,AAPL240419P00275000,2024-03-14 19:27:43+00:00,275.0,102.34,97.8,99.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-04-19,3
134,AAPL240419P00280000,2024-02-07 17:43:18+00:00,280.0,91.18,108.55,110.55,0.0,0.0,60.0,0,3.163576309814453,True,REGULAR,USD,Put,2024-04-19,3
135,AAPL240419P00300000,2024-02-14 20:32:19+00:00,300.0,116.5,125.95,129.1,0.0,0.0,2.0,0,2.9086941345214847,True,REGULAR,USD,Put,2024-04-19,3
136,AAPL240426C00100000,2024-04-10 19:58:13+00:00,100.0,68.2,0.0,0.0,0.0,0.0,2.0,12,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
137,AAPL240426C00110000,2024-04-11 19:19:05+00:00,110.0,64.4,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
138,AAPL240426C00125000,2024-04-12 16:32:39+00:00,125.0,50.72,0.0,0.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
139,AAPL240426C00130000,2024-04-11 19:18:19+00:00,130.0,44.86,0.0,0.0,0.0,0.0,3.0,6,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
140,AAPL240426C00135000,2024-04-08 15:09:17+00:00,135.0,34.57,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
141,AAPL240426C00140000,2024-04-12 14:32:28+00:00,140.0,36.7,0.0,0.0,0.0,0.0,4.0,24,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
142,AAPL240426C00145000,2024-04-11 19:22:11+00:00,145.0,30.0,0.0,0.0,0.0,0.0,7.0,12,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
143,AAPL240426C00149000,2024-04-12 15:24:05+00:00,149.0,27.5,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
144,AAPL240426C00150000,2024-04-12 19:19:18+00:00,150.0,26.3,0.0,0.0,0.0,0.0,8.0,197,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
145,AAPL240426C00155000,2024-04-12 19:51:18+00:00,155.0,22.12,0.0,0.0,0.0,0.0,95.0,145,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
146,AAPL240426C00157500,2024-04-12 14:39:00+00:00,157.5,19.2,0.0,0.0,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
147,AAPL240426C00160000,2024-04-12 19:51:36+00:00,160.0,17.18,0.0,0.0,0.0,0.0,166.0,376,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
148,AAPL240426C00162500,2024-04-12 19:13:40+00:00,162.5,14.05,0.0,0.0,0.0,0.0,6.0,46,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-04-26,10
